employee_id,hire_date,exit_date,exit_type,exit_reason,country,site,department,job_level,gender,age,contract_type,work_model,fte,base_salary_eur,salary_band_mid_eur,compa_ratio,tenure_months,months_since_promotion,performance_rating,engagement_score
E00001,2021-07-17,,,,PL,Krakow,Customer Service,L2,F,30,Permanent,Hybrid,1.0,24050,23600,1.019,59,59,3,50
E00002,2022-03-04,,,,PL,Krakow,Sales,L1,M,32,Permanent,Hybrid,1.0,21800,22000,0.991,51,51,3,62
E00003,2018-10-06,,,,ES,Barcelona,Customer Service,L2,M,47,Permanent,Hybrid,1.0,29450,28100,1.048,92,92,2,69
E00004,2022-08-04,,,,PL,Krakow,Customer Service,L2,M,35,Permanent,Remote,1.0,26550,23600,1.125,46,13,3,61
E00005,2023-04-05,,,,DE,Munich,Operations,L1,M,25,Permanent,Hybrid,1.0,41350,36100,1.145,38,38,3,72
E00006,2026-03-03,,,,PL,Krakow,Customer Service,L6,M,31,Permanent,Onsite,1.0,77250,75600,1.022,3,3,3,61
E00007,2024-12-05,,,,IT,Milan,Finance,L3,M,43,Permanent,Hybrid,1.0,42650,45800,0.931,18,18,4,71
E00008,2020-12-30,,,,PL,Krakow,Customer Service,L3,M,35,Permanent,Remote,1.0,31200,30200,1.033,66,14,3,63
E00009,2022-05-05,,,,DE,Munich,HR,L2,F,37,Permanent,Onsite,1.0,44900,47500,0.945,49,13,3,65
E00010,2023-05-07,,,,PL,Krakow,Customer Service,L1,F,27,Permanent,Hybrid,1.0,18550,18900,0.981,37,37,3,66
E00011,2024-02-02,,,,DE,Munich,Finance,L3,F,22,Permanent,Onsite,1.0,69750,66900,1.043,28,25,2,62
E00012,2025-04-01,2025-08-01,Involuntary,End of fixed-term contract,IT,Milan,Customer Service,L2,F,35,Fixed-term,Remote,1.0,25100,29200,0.86,4,4,4,47
E00013,2012-07-25,,,,IT,Milan,Operations,L1,F,50,Permanent,Onsite,1.0,28100,24700,1.138,167,21,3,70
E00014,2017-07-01,,,,IT,Milan,Operations,L1,F,51,Permanent,Onsite,1.0,25550,24700,1.034,107,107,2,52
E00015,2016-12-22,,,,PL,Krakow,Operations,L3,M,40,Permanent,Hybrid,1.0,34300,31900,1.075,114,42,1,55
E00016,2026-03-09,,,,PL,Krakow,Operations,L1,F,30,Fixed-term,Onsite,1.0,15550,20000,0.777,3,3,4,68
E00017,2025-03-22,,,,IT,Milan,Customer Service,L1,F,25,Permanent,Remote,1.0,18550,23400,0.793,15,15,3,45
E00018,2022-01-02,,,,IT,Milan,HR,L1,F,40,Permanent,Remote,1.0,23050,26000,0.887,53,11,2,68
E00019,2025-10-27,2026-04-15,Voluntary,Manager / leadership,ES,Barcelona,Finance,L1,F,27,Fixed-term,Remote,1.0,24250,27500,0.882,6,6,4,56
E00020,2025-02-02,,,,ES,Barcelona,Sales,L4,M,37,Fixed-term,Remote,1.0,54850,55100,0.995,16,16,4,68
E00021,2024-10-21,,,,PL,Krakow,Customer Service,L1,M,24,Permanent,Remote,1.0,17850,18900,0.944,20,20,5,73
E00022,2024-08-07,,,,DE,Munich,Operations,L3,M,20,Permanent,Onsite,1.0,60050,57800,1.039,22,16,3,80
E00023,2023-10-10,,,,PL,Krakow,Tech,L1,M,31,Permanent,Remote,0.8,28100,26200,1.073,32,25,3,67
E00024,2024-03-06,2026-05-09,Voluntary,Compensation,IT,Milan,Operations,L3,M,37,Permanent,Onsite,1.0,32150,39500,0.814,26,26,3,38
E00025,2025-12-19,,,,IT,Milan,Operations,L4,F,40,Permanent,Onsite,1.0,49050,51900,0.945,6,6,3,67
E00026,2015-03-01,2025-07-21,Voluntary,Work-life balance,DE,Munich,Customer Service,L2,F,49,Permanent,Hybrid,1.0,42250,42800,0.987,124,13,3,59
E00027,2025-07-14,,,,ES,Barcelona,Operations,L4,M,28,Permanent,Onsite,1.0,53400,49900,1.07,11,11,2,74
E00028,2022-04-12,,,,PL,Krakow,Customer Service,L1,M,31,Permanent,Hybrid,1.0,19600,18900,1.037,50,40,1,48
E00029,2019-12-23,,,,ES,Barcelona,Customer Service,L2,M,36,Permanent,Hybrid,1.0,27900,28100,0.993,78,78,3,50
E00030,2024-06-30,,,,PL,Krakow,Customer Service,L3,F,20,Permanent,Hybrid,1.0,32050,30200,1.061,24,24,3,84
